name,gdp_pcap,co2_pcap,child_mort_pcap,lex
Afghanistan,1331.83985,0.284,50.0623,65.11
Angola,5761.20203,1.225,66.4215,66.3
Albania,17385.40032,2.103,7.3157,79.67
Andorra,54957.623,5.909,5.7043,83.19
UAE,81255.00374,21.122,5.5115,74.94
Argentina,21859.97238,3.847,9.2996,77.6
Armenia,19470.57921,2.7,9.7108,76.87
Antigua and Barbuda,24035.67478,5.939,5.6154,77.34
Australia,52323.08193,13.935,3.1437,83.79
Austria,55970.3675,9.2,2.7208,83.17
Azerbaijan,15730.79739,3.842,17.533,71.73
Burundi,733.30091,0.051,51.7445,64.95
Belgium,53864.33152,16.928,3.1193,82.33
Benin,3783.45068,0.71,81.275,65.71
Burkina Faso,2291.9414,0.306,80.1619,62.97
Bangladesh,7383.09195,0.844,21.8617,76.33
Bulgaria,29555.28275,5.823,5.6256,74.33
Bahrain,53565.62063,16.037,5.8535,77.98
Bahamas,34418.74112,4.75,11.1419,77.04
Bosnia and Herzegovina,18213.85604,6.452,4.7298,77.91
Belarus,19159.82491,6.322,2.7049,75.21
Belize,9879.54875,1.516,10.7576,75.49
Bolivia,8430.31882,1.988,30.0339,73.47
Brazil,15966.66084,2.109,10.7922,77.09
Barbados,17254.67867,4.522,10.555,77.1
Brunei,61962.96135,24.477,10.9024,74.36
Bhutan,13265.018,1.802,21.4273,74.82
Botswana,16392.52721,5.104,41.9965,63.08
Central African Republic,833.45351,0.071,96.2259,53.6
Canada,48204.69341,13.173,4.2103,83.15
Switzerland,72096.74309,11.644,3.3052,84.85
Chile,26662.09833,4.544,5.943,81.39
China,20884.71986,7.379,6.4714,78.81
Cote d'Ivoire,6132.20681,0.596,73.371,65.53
Cameroon,3926.36659,0.408,67.6348,64.52
"Congo, Dem. Rep.",1235.34207,0.026,77.8445,66.25
"Congo, Rep.",3260.67529,0.674,48.5289,66.38
Colombia,15899.6718,2.389,11.5342,81.37
Comoros,3274.13159,0.287,53.1003,70.26
Cape Verde,8564.94351,1.263,12.8454,75.05
Costa Rica,24330.20833,2.383,6.8257,81.33
Cuba,9020.75903,2.551,4.7099,79.75
Cyprus,45535.13479,5.621,2.3162,81.77
Czech Republic,41043.26446,9.835,2.559,80.33
Germany,53926.31163,9.3,2.9181,82.13
Djibouti,5822.07028,0.734,50.993,68.33
Dominica,12897.40134,2.574,12.1193,73.26
Denmark,61585.22925,7.685,3.0395,82.02
Dominican Republic,21312.83027,3.108,27.5487,74.35
Algeria,11830.67195,3.88,17.6955,77.47
Ecuador,11135.43057,2.7,11.6363,77.51
Egypt,13497.15506,2.399,15.4337,71.97
Eritrea,2163.60746,0.234,31.7738,65.42
Spain,40985.29519,5.657,2.419,83.87
Estonia,37072.52067,10.373,2.1389,79.01
Ethiopia,2710.17918,0.188,41.9947,70.68
Finland,49298.67264,8.761,1.8243,82.84
Fiji,13959.85259,2.603,20.0197,69.21
France,46895.87011,6.073,3.6732,83.77
"Micronesia, Fed. Sts.",3350.08434,1.449,21.0137,65
Gabon,14145.77683,2.764,36.8685,68.68
UK,46555.56024,6.926,3.4551,81.93
Georgia,20406.63216,3.769,7.5548,74.47
Ghana,5701.33601,0.773,41.8537,67.41
